file_path,language,extension,loc,method_count,size_bytes
tests\test_frontend.py,Python,.py,1406,108,43866
tests\test_generate_unique_id_function.py,Python,.py,1699,31,78459
tests\test_generic_parameterless_depends.py,Python,.py,79,4,2102
tests\test_get_model_definitions_formfeed_escape.py,Python,.py,160,4,6263
tests\test_get_request_body.py,Python,.py,114,3,4425
tests\test_http_connection_injection.py,Python,.py,39,5,1011
tests\test_include_route.py,Python,.py,22,2,518
tests\test_include_router_defaults_overrides.py,Python,.py,7304,27,402167
tests\test_infer_param_optionality.py,Python,.py,337,13,13852
tests\test_inherited_custom_class.py,Python,.py,67,8,1864
tests\test_invalid_path_param.py,Python,.py,75,14,1741
tests\test_invalid_sequence_param.py,Python,.py,63,8,1608
tests\test_jsonable_encoder.py,Python,.py,345,34,10929
tests\test_json_type.py,Python,.py,63,8,1757
tests\test_list_bytes_file_order_preserved_issue_14811.py,Python,.py,46,3,1457
tests\test_local_docs.py,Python,.py,67,5,2615
tests\test_multipart_installation.py,Python,.py,149,22,5958
tests\test_multi_body_errors.py,Python,.py,191,5,7066
tests\test_multi_query_errors.py,Python,.py,122,4,4626
tests\test_nested_annotated_in_sequence.py,Python,.py,143,5,5318
tests\test_no_schema_split.py,Python,.py,176,3,6829
tests\test_no_swagger_ui_redirect.py,Python,.py,31,4,817
tests\test_openapi_cache_root_path.py,Python,.py,75,8,2423
tests\test_openapi_examples.py,Python,.py,422,7,17171
tests\test_openapi_model_description_trim_on_formfeed.py,Python,.py,31,2,691
tests\test_openapi_query_parameter_extension.py,Python,.py,131,3,5032
tests\test_openapi_route_extensions.py,Python,.py,45,3,1318
tests\test_openapi_schema_type.py,Python,.py,24,2,746
tests\test_openapi_separate_input_output_schemas.py,Python,.py,676,13,29170
tests\test_openapi_servers.py,Python,.py,60,3,1819
tests\test_operations_signatures.py,Python,.py,22,1,956
tests\test_optional_file_list.py,Python,.py,28,3,817
tests\test_orjson_response_class.py,Python,.py,32,2,976
tests\test_params_repr.py,Python,.py,114,27,2435
tests\test_param_class.py,Python,.py,25,3,629
tests\test_param_include_in_schema.py,Python,.py,246,9,9094
tests\test_param_in_path_and_dependency.py,Python,.py,99,4,3747
tests\test_path.py,Python,.py,780,75,21783
tests\test_prepare_release.py,Python,.py,307,15,7707
tests\test_put_no_body.py,Python,.py,103,4,3992
tests\test_pydanticv2_dataclasses_uuid_stringified_annotations.py,Python,.py,51,2,1182
tests\test_pydantic_v1_error.py,Python,.py,96,12,2443
tests\test_query.py,Python,.py,277,29,7825
tests\test_query_cookie_header_model_extra_params.py,Python,.py,140,11,3422
tests\test_read_with_orm_mode.py,Python,.py,43,3,1258
tests\test_regex_deprecated_body.py,Python,.py,154,6,5644
tests\test_regex_deprecated_params.py,Python,.py,146,6,5355
tests\test_repeated_cookie_headers.py,Python,.py,34,5,826
tests\test_repeated_dependency_schema.py,Python,.py,109,5,4184
tests\test_repeated_parameter_alias.py,Python,.py,106,3,4368
tests\test_request_body_parameters_media_type.py,Python,.py,184,3,7528
tests\test_request_param_model_by_alias.py,Python,.py,72,9,2254
tests\test_required_noneable.py,Python,.py,60,10,1546
tests\test_response_by_alias.py,Python,.py,330,19,12275
tests\test_response_change_status_code.py,Python,.py,26,4,615
tests\test_response_class_no_mediatype.py,Python,.py,114,3,3844
tests\test_response_code_no_body.py,Python,.py,115,4,3717
tests\test_response_dependency.py,Python,.py,173,22,5479
tests\test_response_model_as_return_annotation.py,Python,.py,1121,75,53090
tests\test_response_model_data_filter.py,Python,.py,79,6,1780
tests\test_response_model_data_filter_no_inheritance.py,Python,.py,81,6,1802
tests\test_response_model_default_factory.py,Python,.py,47,4,1311
tests\test_response_model_include_exclude.py,Python,.py,175,12,4293
tests\test_response_model_invalid.py,Python,.py,43,8,1142
tests\test_response_model_sub_types.py,Python,.py,161,6,6094
tests\test_response_set_response_code_empty.py,Python,.py,104,3,3827
tests\test_return_none_stringified_annotations.py,Python,.py,17,2,448
tests\test_router_circular_import.py,Python,.py,12,1,329
tests\test_router_events.py,Python,.py,378,44,12665
tests\test_router_include_context.py,Python,.py,1075,109,33235
tests\test_router_prefix_with_template.py,Python,.py,23,2,507
tests\test_router_redirect_slashes.py,Python,.py,40,4,1014
tests\test_route_scope.py,Python,.py,50,7,1580
tests\test_schema_compat_pydantic_v2.py,Python,.py,121,4,4401
tests\test_schema_extra_examples.py,Python,.py,857,19,36389
tests\test_schema_ref_pydantic_v2.py,Python,.py,68,4,2232
tests\test_security_api_key_cookie.py,Python,.py,70,5,2227
tests\test_security_api_key_cookie_description.py,Python,.py,75,5,2420
tests\test_security_api_key_cookie_optional.py,Python,.py,74,5,2341
tests\test_security_api_key_header.py,Python,.py,70,5,2167
tests\test_security_api_key_header_description.py,Python,.py,75,5,2360
tests\test_security_api_key_header_optional.py,Python,.py,73,5,2273
tests\test_security_api_key_query.py,Python,.py,70,5,2146
tests\test_security_api_key_query_description.py,Python,.py,75,5,2331
tests\test_security_api_key_query_optional.py,Python,.py,73,5,2252
tests\test_security_http_base.py,Python,.py,64,5,2318
tests\test_security_http_base_description.py,Python,.py,64,4,2265
tests\test_security_http_base_optional.py,Python,.py,61,4,2106
tests\test_security_http_basic_optional.py,Python,.py,79,6,2830
tests\test_security_http_basic_realm.py,Python,.py,78,6,2843
tests\test_security_http_basic_realm_description.py,Python,.py,84,6,3049
tests\test_security_http_bearer.py,Python,.py,65,5,2378
tests\test_security_http_bearer_description.py,Python,.py,71,5,2598
tests\test_security_http_bearer_optional.py,Python,.py,67,5,2374
tests\test_security_http_digest.py,Python,.py,67,5,2405
tests\test_security_http_digest_description.py,Python,.py,73,5,2611
tests\test_security_http_digest_optional.py,Python,.py,69,5,2401
tests\test_security_oauth2.py,Python,.py,280,11,10322
tests\test_security_oauth2_authorization_code_bearer.py,Python,.py,82,6,2806
tests\test_security_oauth2_authorization_code_bearer_description.py,Python,.py,80,5,2683
tests\test_security_oauth2_authorization_code_bearer_scopes_openapi.py,Python,.py,197,12,6956
tests\test_security_oauth2_authorization_code_bearer_scopes_openapi_simple.py,Python,.py,80,4,2738
tests\test_security_oauth2_optional.py,Python,.py,281,11,10269
