token_a,token_b,similarity_before,similarity_after,change
.,",",0.09499927860621966,0.39780798056129746,0.3028087019550778
.,(,-0.002879302015932237,0.41284788981407705,0.4157271918300093
.,=,0.06961813039151528,0.39330143278971696,0.3236833023982017
.,),-0.08785752406773584,0.27604029331819707,0.3638978173859329
.,-,0.1232531786673508,0.3305742837985702,0.20732110513121937
.,"""",0.06661734898767713,0.2369951357015957,0.17037778671391857
.,:,-0.12072465252249874,0.18926169912053867,0.3099863516430374
.,the,-0.040434167857482405,0.23623269143112485,0.27666685928860724
.,#,-0.04209702651483607,0.22685227855305215,0.2689493050678882
.,/,-0.05779492299782739,0.17177848558221928,0.22957340858004666
.,0,0.05604636330701727,0.452353480620941,0.3963071173139237
.,1,0.04282598634849772,0.3634525120081252,0.32062652565962746
.,[,0.06359546422452345,0.3480887988890178,0.28449333466449434
.,""",",0.1400589864591974,0.3300584128148241,0.18999942635562672
.,""":",0.005733705721295369,0.18998164679756938,0.184247941076274
.,in,-0.05203039505129722,0.21991792935026608,0.2719483244015633
.,to,0.04116305907586751,0.3219759936134305,0.28081293453756295
.,of,0.059648571843765597,0.3363221373816567,0.27667356553789113
.,for,-0.11838258158694313,0.16436955785972807,0.2827521394466712
.,`,0.023155791611543766,0.21388749146488817,0.1907316998533444
.,_,0.1938203986679062,0.44775625310025235,0.2539358544323461
.,X,-0.004004145340561749,0.3002923786704629,0.30429652401102464
.,self,0.09847129394800962,0.4647268324608763,0.3662555385128667
.,a,0.018957772036856776,0.3176642679637033,0.2987064959268465
.,from,-0.03226095387612063,0.3169540423412992,0.3492149962174198
.,is,-0.051277073149510584,0.26611740101413134,0.3173944741636419
.,2,0.020454323151461905,0.34376146857926254,0.32330714542780065
.,def,-0.00830429654854968,0.2927760496231128,0.3010803461716625
.,],-0.015254148527795629,0.25679872630489825,0.27205287483269386
.,,0.0883739819430637,0.09238337960889853,0.00400939766583483
.,and,0.03435770639090542,0.29966230634819097,0.26530459995728556
.,):,-0.04613331792289539,0.2786316615861289,0.3247649795090243
.,',-0.05033091106281979,0.14791073605422722,0.198241647117047
.,s,-0.09410492628112598,0.18599581329416826,0.28010073957529424
.,np,-0.1620241421976202,0.3746311282501559,0.5366552704477761
.,if,-0.031869383355116056,0.2813869028028043,0.3132562861579204
.,@,0.00930222533900179,0.48544726759932566,0.4761450422603239
.,assert,0.08756819226886964,0.4731565284998366,0.38558833623096694
.,import,0.04048683987608901,0.4189409142328468,0.37845407435675776
.,*,-0.03928571196465132,0.1699541152637416,0.2092398272283929
.,{,0.04360585972536446,0.22546788900303924,0.18186202927767478
.,pytest,0.23005242156407482,0.5976775591534688,0.36762513758939397
.,"""""""",0.06949763298375675,0.34492830425428667,0.2754306712705299
.,==,0.12179968338973311,0.49400951692714307,0.37220983353740994
.,y,-0.11606096428041458,0.17500021472278843,0.291061179003203
.,3,0.1263070576476427,0.4473587645535857,0.321051706905943
.,(#,-0.057596358810021155,0.16243993467942863,0.22003629348944978
.,with,0.14048325570751194,0.44392958531014765,0.30344632960263573
.,(),-0.12763047424017446,0.32597511455922407,0.4536055887993985
",",(,0.013479945510410218,0.4113743249208044,0.3978943794103942
",",=,-0.12619940186146097,0.317801379230777,0.44400078109223795
",",),-0.09515616414050398,0.24411508378782432,0.3392712479283283
",",-,-0.011608881568325837,0.12998178725581647,0.1415906688241423
",","""",-0.13841082942003985,0.07575238992443355,0.2141632193444734
",",:,-0.09821063440076207,0.09833967224095276,0.19655030664171483
",",the,-0.07616962449541949,0.1529018022193163,0.2290714267147358
",",#,0.1396556961734454,0.3002163638998836,0.1605606677264382
",",/,-0.016056827099850627,0.028050550147439866,0.0441073772472905
",",0,0.1923037707078871,0.5054717892697023,0.3131680185618152
",",1,0.03637649926777171,0.3710043218630642,0.3346278225952925
",",[,-0.0055703266179996545,0.28560349929848033,0.29117382591648
",",""",",0.04823128916642897,0.19539668573838304,0.14716539657195407
",",""":",0.020867174737938015,0.15266087159295266,0.13179369685501466
",",in,-0.06720324658311345,0.10605829638739818,0.17326154297051163
",",to,0.021254875504005635,0.2326611805144748,0.21140630501046914
",",of,0.08633566514625744,0.2941461723341942,0.20781050718793675
",",for,0.014148779365983716,0.1923793869614273,0.1782306075954436
",",`,0.06056040873987522,0.14071190244218276,0.08015149370230754
",",_,0.11012619967139832,0.3545198090584219,0.2443936093870236
",",X,-0.10353123985669509,0.2530835637586207,0.3566148036153158
",",self,-0.01882153716554897,0.28768150759280636,0.3065030447583553
",",a,0.1044946909750705,0.3343619677381222,0.22986727676305171
",",from,-0.004667158083029464,0.1943640933312046,0.19903125141423408
",",is,-0.03387557822201106,0.20266765190397643,0.2365432301259875
",",2,0.17624139883228981,0.4799929764240901,0.30375157759180027
",",def,0.07766738005616225,0.2972816512356204,0.21961427117945814
",",],0.021821481255133356,0.2329707567305644,0.21114927547543103
",",,0.07017658299298986,0.08964369237414095,0.019467109381151093
",",and,-0.04187223530378243,0.19102751883024943,0.23289975413403186
",",):,0.10668182597330371,0.40920139035643355,0.3025195643831298
",",',-0.09224982049379245,0.049496656685577504,0.14174647717936995
",",s,-0.06987530367287,0.14249985814026384,0.21237516181313382
",",np,0.01806676197656715,0.2993639375840258,0.28129717560745865
",",if,0.0331278449486128,0.24485942979744968,0.21173158484883686
",",@,-0.026766954845099666,0.18872708573264224,0.2154940405777419
",",assert,-0.07225085202319881,0.19449902574859235,0.26674987777179116
",",import,0.0902637072673211,0.3051336346176947,0.21486992735037364
",",*,-0.05959049705766836,0.10069371882271283,0.1602842158803812
",",{,0.19118208083831975,0.2629622248653288,0.07178014402700902
",",pytest,-0.01103025793736145,0.21114422113750303,0.22217447907486448
",","""""""",0.0072233526645644084,0.22766158420378194,0.22043823153921752
",",==,0.16599808510295222,0.3522515186519406,0.18625343354898838
",",y,0.07600839912224212,0.4105212672895389,0.3345128681672968
",",3,0.16783249992459293,0.47134531524218326,0.30351281531759033
",",(#,-0.07711693503330308,0.057736093494201696,0.13485302852750478
",",with,0.20574580877115572,0.3881661951154995,0.18242038634434377
",",(),0.03386331229264772,0.21791687358644324,0.18405356129379552
(,=,-0.0426903700084396,0.3506747195116496,0.3933650895200892
(,),0.14995872099160354,0.5265597543079823,0.37660103331637873
(,-,0.12283202533648516,0.24025862777444484,0.11742660243795969
(,"""",-0.02702828074163215,0.1725677070491628,0.19959598779079496
(,:,-0.011939913336926577,0.17686957778888068,0.18880949112580725
(,the,-0.15013401207999988,0.08211116608744169,0.23224517816744156
(,#,0.08333984989220203,0.25572562924479003,0.172385779352588
(,/,-0.32578426345117484,-0.1607717802280807,0.16501248322309414
(,0,0.10892654526209701,0.3564070514984714,0.2474805062363744
(,1,-0.01299127362062906,0.24453227225718052,0.25752354587780957
(,[,-0.04371892788416005,0.22192222665521266,0.2656411545393727
(,""",",-0.06077815964941991,0.17920765676937003,0.23998581641878994
(,""":",0.0052036780472507396,0.15828020836561893,0.15307653031836818
(,in,0.06525204763352806,0.22180442436604325,0.1565523767325152
(,to,0.017790055083650017,0.20877998256477298,0.19098992748112298
(,of,-0.020407922756863154,0.25135371940944096,0.2717616421663041
(,for,0.06478723436682049,0.22875358736411106,0.16396635299729057
(,`,-0.14699186909230724,-0.006285078986215244,0.140706790106092
(,_,-0.06092188254088197,0.2935775154400917,0.3544993979809737
(,X,0.08981967192717799,0.40545181477132797,0.31563214284415
(,self,-0.08291232076903918,0.3117268750421537,0.3946391958111929
(,a,0.26117919579051013,0.4163906319823059,0.15521143619179578
(,from,-0.06766595602386392,0.107489359354038,0.1751553153779019
(,is,0.08103384898806842,0.27228582918343447,0.19125198019536604
(,2,-0.030624238662111784,0.258994816150295,0.2896190548124068
(,def,0.12030792330227695,0.5130106352427081,0.3927027119404311
(,],0.005536907918621465,0.2220968864201857,0.21655997850156425
(,,0.12377399312647912,0.12296863292613185,-0.0008053602003472715
(,and,0.030294686089614598,0.22547396977168652,0.1951792836820719
(,):,-0.14100105271513727,0.3358844688253873,0.47688552154052455
(,',-0.03220957195099561,0.11508635082718088,0.1472959227781765
(,s,0.15125714183641614,0.3316006060285745,0.18034346419215835
(,np,0.014628741389557786,0.3959798612071972,0.3813511198176394
(,if,-0.019571440784339512,0.2683727404074122,0.28794418119175175
