token,frequency,average_cosine_similarity
=,166889,-0.030701365874090315
:,115473,-0.028515929219823478
/,60936,-0.024462570536656958
from,30886,-0.021947893634279535
y,19773,-0.019450725258803897
-,118845,-0.017081826779153764
s,23484,-0.016656954125637283
to,43932,-0.01647983791444302
`,36275,-0.0162263873345923
for,36949,-0.013540427437876954
